GeoFIPS,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
5011,"Bradley, AR",261103,275598,305675,322325,325727,305759,294831,274111,258409,290734,280461,301748,292429,302282,321127,313284,323897,330283
5013,"Calhoun, AR",320922,319993,336283,362666,358494,384159,373375,377696,352030,361816,334710,288221,294681,297880,314529,305565,326112,344894
5015,"Carroll, AR",657433,699255,683133,745054,752294,777474,733303,706462,627734,667083,675495,655935,705759,775493,756728,723423,784947,788311
5017,"Chicot, AR",300605,292793,320186,317905,317800,309949,313066,290384,322983,317114,325027,338340,337065,260238,234007,253168,254641,244098
5019,"Clark, AR",693576,691921,706640,706109,707830,698786,721240,780365,747754,724613,732901,710820,741412,734544,718661,723399,730698,734017
5021,"Clay, AR",368674,387102,441737,422058,409031,422632,382943,393812,450672,430878,376802,387653,422677,335345,299759,289400,313160,304763
5023,"Cleburne, AR",454682,507117,483921,502179,522189,540819,566723,597105,616917,744227,825819,820163,876633,1020608,1099560,1009797,982503,890222
5025,"Cleveland, AR",111170,121251,108684,130658,136191,120949,123748,131460,110826,108338,91981,119290,131807,151832,160765,156902,163377,169834
5027,"Columbia, AR",687088,744218,759842,791856,806799,882873,900602,890241,781515,794415,848903,887285,873379,886196,883285,843077,831485,828515
5029,"Conway, AR",473318,485100,477853,504330,512049,531379,615068,757062,859742,879488,922803,934217,1011256,1141140,1154642,1085068,1025383,962556
5031,"Craighead, AR",2814408,2974964,3173233,3329982,3448976,3452358,3369290,3444521,3471494,3731230,3863150,3775729,3890203,3751366,3821826,3860116,3922075,4031319
5033,"Crawford, AR",1248295,1263156,1332374,1405436,1460540,1548877,1522531,1490449,1473182,1587234,1565257,1535780,1564799,1560681,1528602,1517580,1542213,1567342
5035,"Crittenden, AR",1508940,1414553,1484747,1488912,1524526,1579840,1560924,1509931,1458219,1479890,1513944,1438496,1551133,1523936,1493676,1464223,1483554,1481505
5037,"Cross, AR",426643,411135,465855,501022,454235,464626,423933,414621,438631,430112,442064,461134,500541,474919,437090,435801,439065,440941
5039,"Dallas, AR",186723,191347,193406,194943,209584,205499,210437,209844,202349,203085,198441,203032,199222,196412,195291,194016,195576,192320
5041,"Desha, AR",454734,453530,526269,503567,515242,507048,508220,513998,554743,576961,568802,539745,535441,492282,505433,536213,495296,498045
5043,"Drew, AR",461356,471924,507823,525320,546946,546454,536096,547978,512881,554979,586872,581197,579059,563324,570890,589264,571341,574589
5045,"Faulkner, AR",2161252,2283444,2362350,2538094,2647303,2939409,3081822,3300553,3325581,3530099,3631776,3657068,3609684,3657885,3720455,3679979,3625171,3683719
5047,"Franklin, AR",407498,432332,444773,497278,509075,511982,498489,475767,431306,416008,415799,408458,424119,459220,485328,455437,471660,479936
5049,"Fulton, AR",144258,153974,157218,159122,166601,183319,177658,168363,178134,181258,183600,181996,179118,185543,199447,179951,180330,187790
5051,"Garland, AR",2501167,2586995,2652288,2722299,2815444,2837594,2818474,2773077,2658746,2781577,2975381,2882191,2879229,2890928,2937538,2942846,3003768,3051825
5053,"Grant, AR",266697,280342,300819,302987,305333,316700,327088,315203,305644,313613,331345,347021,357217,370621,375292,372803,378549,390516
5055,"Greene, AR",949422,995469,1076869,1124600,1173180,1251174,1191966,1161982,1094636,1170219,1232977,1322848,1303296,1290636,1316996,1283954,1315511,1342823
5057,"Hempstead, AR",658864,689812,696907,735960,693426,677555,633591,617284,610657,682168,706536,718400,845698,870793,817269,818374,883781,877218
5059,"Hot Spring, AR",639814,678864,669148,722153,740777,808978,788444,776020,756425,746685,748758,836992,798888,729255,823538,893297,873769,863609
5061,"Howard, AR",554305,590550,579136,614090,632426,604267,599911,593514,504159,502504,496629,516011,567833,588593,580517,569038,593606,597565
5063,"Independence, AR",1625629,1632939,1649907,1737404,1921995,1864489,1771229,1772077,1726132,1858221,1772520,1694692,1728990,1713107,1489901,1572081,1582135,1670702
5065,"Izard, AR",243434,261903,263397,263018,259657,255343,246497,239469,226305,238007,245228,279312,285398,289683,291945,280613,267905,273211
5067,"Jackson, AR",459869,457564,494309,539494,510535,534221,513132,535973,535127,535953,522531,577056,594034,575558,528349,533677,520962,528213
5069,"Jefferson, AR",3235301,3212765,3338283,3458575,3417528,3499571,3314716,3366892,3287325,3376171,3352813,3337710,3328676,3118167,2917025,2935141,2931545,2917078
5071,"Johnson, AR",547031,607003,597852,645270,659938,673396,671297,659291,590047,617983,641297,634857,661012,682908,692708,688151,703176,698286
5073,"Lafayette, AR",206194,202696,173650,185238,180043,180197,171966,166423,148029,135690,138541,183432,178090,187390,197146,201252,182376,174464
5075,"Lawrence, AR",379729,403290,431213,411258,385762,395586,363606,371850,404470,398321,355226,396799,411198,428625,377185,401118,419851,444009
5077,"Lee, AR",242283,210089,272255,250437,213344,253796,253849,235941,223379,229722,301601,236232,260012,193233,186225,178330,170645,178058
5079,"Lincoln, AR",247612,243756,269920,277767,263516,259834,259996,235878,225153,231534,236989,261800,296872,263595,263976,278624,250313,261122
5081,"Little River, AR",409004,482467,452284,517878,509700,531753,569998,676154,661782,549009,530646,540962,481444,449261,406071,396547,384516,378858
5083,"Logan, AR",452522,472675,485950,559750,594232,598249,601017,560227,524566,511822,478125,523544,530380,571738,628938,605629,614896,600829
5085,"Lonoke, AR",890188,905020,994528,1053047,1027094,1091601,1074518,1065597,1092825,1100292,1072810,1101740,1181382,1138786,1129147,1120170,1145735,1159033
5087,"Madison, AR",254273,287074,294529,342605,342947,335969,295881,291004,275745,294133,263272,307184,335033,382703,407009,390283,405857,411807
5089,"Marion, AR",232412,269668,263613,301030,331435,339100,376003,454675,352035,399585,492114,404560,417976,421673,550764,486098,486441,494246
5091,"Miller, AR",1199311,1164689,1165166,1173768,1191495,1263560,1248553,1162653,1109310,1251818,1293182,1250665,1144075,1116548,1116700,1094405,1075969,1102278
5093,"Mississippi, AR",2010224,2084639,1992663,2033976,1881365,2024349,1987036,1817475,1575215,1753355,2194822,2255205,2150887,2016009,2006432,2165446,2086796,2205413
5095,"Monroe, AR",210893,203222,231942,217263,222016,235911,206971,209246,204044,230747,251828,241945,236522,212166,192302,197137,194720,188860
5097,"Montgomery, AR",148457,155856,150618,159748,162809,163918,162377,152073,145591,147018,142680,154776,159100,161263,166208,157184,155057,157162
5099,"Nevada, AR",196374,208245,217264,250268,274388,256178,232185,201705,176691,187423,203423,238051,243838,259494,276505,270195,264549,272959
5101,"Newton, AR",93954,104208,103315,105593,104773,113961,107795,95909,95511,102634,101688,104212,102323,103836,101767,97685,95467,96963
5103,"Ouachita, AR",551014,554409,559220,568123,573613,592038,596376,603118,588240,625350,632371,626843,635939,625789,622256,610952,605002,614610
5105,"Perry, AR",120658,125568,123914,134425,130280,139700,139748,146397,148176,147019,139638,137262,142694,137386,153683,142159,142145,141590
5107,"Phillips, AR",562874,530115,586053,573049,557288,559132,575617,529413,528846,524959,589168,532930,573599,507977,480917,457899,444620,458421
5109,"Pike, AR",250516,257863,250305,263809,281876,272160,273809,267453,255386,258490,223722,220195,228768,246231,245683,234545,240251,248289
5111,"Poinsett, AR",549095,529284,621507,642505,648076,661616,585885,609079,615918,606836,566847,574294,612168,548984,529275,528857,541014,555990
5113,"Polk, AR",446959,440311,438790,461538,474527,468710,460086,458407,424823,443461,440112,461245,473248,490446,500117,479843,490456,502922
5115,"Pope, AR",2273252,2260027,2318088,2441337,2545693,2567021,2524810,2551425,2441163,2610755,2618144,2599080,2614325,2679122,2805696,2728238,2683755,2692810
5117,"Prairie, AR",177162,171225,213244,216703,196114,205959,185985,219033,278159,227748,178750,195451,205116,192710,158599,159145,164188,165493
5119,"Pulaski, AR",21629337,22145017,23082419,23782237,25161647,25347675,26176913,25673169,24776238,24641297,25094969,25137955,25755751,25861256,26416384,26975550,26639032,27208113
5121,"Randolph, AR",339609,368634,402027,419710,390475,398865,384734,371288,376551,372433,365775,372702,382137,378339,348243,367600,393806,415843
